,id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,condition_code,grade_code,age,renovated,waterfront_coded,view_coded,lon,To_drop_place_ID,To_drop_road,Type_place,city,suburb
10,1736800520,662500.0,3,2.5,3560,9796,1.0,1860,1700.0,1965,0.0,98007,47.6007,-122.145,2210,8925,3,8,50,False,0,0,-122.145,293850024.0,146th Avenue Southeast,city,Bellevue,Robinswood
11,9212900260,468000.0,2,1.0,1160,6000,1.0,860,300.0,1942,0.0,98115,47.69,-122.292,1330,6000,4,7,72,False,0,0,-122.292,156046634.0,Northeast 85th Street,city,Seattle,
12,114101516,310000.0,3,1.0,1430,19901,1.5,1430,0.0,1927,0.0,98028,47.7558,-122.229,1780,12697,4,7,87,False,0,0,-122.229,249001662.0,NE 176th Court,town,Kenmore,
13,6054650070,400000.0,3,1.75,1370,9680,1.0,1370,0.0,1977,0.0,98074,47.6127,-122.045,1370,10208,4,7,37,False,0,0,-122.045,293792798.0,Northeast 3rd Place,town,Sammamish,
14,1175000570,530000.0,5,2.0,1810,4850,1.5,1810,0.0,1900,0.0,98107,47.67,-122.394,1360,4850,3,7,115,False,0,0,-122.394,154977015.0,Northwest 57th Street,city,Seattle,Seaview
15,9297300055,650000.0,4,3.0,2950,5000,2.0,1980,970.0,1979,0.0,98126,47.5714,-122.375,2140,4000,3,9,36,False,0,3,-122.375,159746535.0,33rd Avenue Southwest,city,Seattle,West Seattle
16,1875500060,395000.0,3,2.0,1890,14040,2.0,1890,0.0,1994,0.0,98019,47.7277,-121.962,1890,14018,3,7,20,False,0,0,-121.962,293686236.0,Northeast 141st Place,town,Duvall,
17,6865200140,485000.0,4,1.0,1600,4300,1.5,1600,0.0,1916,0.0,98103,47.6648,-122.343,1610,4300,4,7,98,False,0,0,-122.343,156917820.0,North 50th Street,city,Seattle,Wallingford
18,16000397,189000.0,2,1.0,1200,9850,1.0,1200,0.0,1921,0.0,98002,47.3089,-122.21,1060,5095,4,7,93,False,0,0,-122.21,212738766.0,Pike Street Northeast,town,Auburn,Rivers Bend
19,7983200060,230000.0,3,1.0,1250,9774,1.0,1250,0.0,1969,0.0,98003,47.3343,-122.306,1280,8850,4,7,46,False,0,0,-122.306,230858462.0,21st Avenue South,town,Federal Way,
20,6300500875,385000.0,4,1.75,1620,4980,1.0,860,760.0,1947,0.0,98133,47.7025,-122.341,1400,4980,4,7,67,False,0,0,-122.341,155895556.0,Interlake Avenue North,city,Seattle,Greenwood
21,2524049179,2000000.0,3,2.75,3050,44867,1.0,2330,720.0,1968,0.0,98040,47.5316,-122.233,4110,20336,3,9,46,False,0,4,-122.233,293784667.0,79th Avenue Southeast,town,Mercer Island,
22,7137970340,285000.0,5,2.5,2270,6300,2.0,2270,0.0,1995,0.0,98092,47.3266,-122.169,2240,7005,3,8,19,False,0,0,-122.169,231793760.0,Southeast 307th Place,town,Auburn,Lea Hill
23,8091400200,252700.0,2,1.5,1070,9643,1.0,1070,0.0,1985,0.0,98030,47.3533,-122.166,1220,8386,3,7,29,False,0,0,-122.166,229907676.0,Southeast 277th Place,town,Kent,
24,3814700200,329000.0,3,2.25,2450,6500,2.0,2450,0.0,1985,0.0,98030,47.3739,-122.172,2200,6865,4,8,29,False,0,0,-122.172,229432526.0,Southeast 254th Court,town,Kent,
25,1202000200,233000.0,3,2.0,1710,4697,1.5,1710,0.0,1941,0.0,98002,47.3048,-122.218,1030,4705,5,6,73,False,0,0,-122.218,231982744.0,I Street Southeast,town,Auburn,Downtown
26,1794500383,937000.0,3,1.75,2450,2691,2.0,1750,700.0,1915,0.0,98119,47.6386,-122.36,1760,3573,3,8,99,False,0,0,-122.36,156325212.0,West Boston Street,city,Seattle,Queen Anne
27,3303700376,667000.0,3,1.0,1400,1581,1.5,1400,0.0,1909,0.0,98112,47.6221,-122.314,1860,3861,5,8,105,False,0,0,-122.314,138639520.0,East Harrison Street,city,Seattle,Capitol Hill
28,5101402488,438000.0,3,1.75,1520,6380,1.0,790,730.0,1948,0.0,98115,47.695,-122.304,1520,6235,3,7,66,False,0,0,-122.304,155401225.0,Northeast 91st Street,city,Seattle,
29,1873100390,719000.0,4,2.5,2570,7173,2.0,2570,0.0,2005,0.0,98052,47.7073,-122.11,2630,6026,3,8,10,False,0,0,-122.11,226959270.0,Northeast 119th Way,town,Redmond,
30,8562750320,580500.0,3,2.5,2320,3980,2.0,2320,0.0,2003,0.0,98027,47.5391,-122.07,2580,3980,3,8,11,False,0,0,-122.07,115571880.0,Northwest Granite Peak Lane,town,Issaquah,
31,2426039314,280000.0,2,1.5,1190,1265,3.0,1190,0.0,2005,0.0,98133,47.7274,-122.357,1390,1756,3,7,9,False,0,0,-122.357,20005253.0,Greenwood Avenue North,city,Seattle,Broadview
32,461000390,687500.0,4,1.75,2330,5000,1.5,1510,820.0,1929,0.0,98117,47.6823,-122.368,1460,5000,4,7,85,False,0,0,-122.368,156540882.0,9th Avenue Northwest,city,Seattle,Greenwood
33,7589200193,535000.0,3,1.0,1090,3000,1.5,1090,0.0,1929,0.0,98117,47.6889,-122.375,1570,5080,4,8,85,False,0,0,-122.375,155699032.0,Northwest 83rd Street,city,Seattle,Ballard
34,7955080270,322500.0,4,2.75,2060,6659,1.0,1280,780.0,1981,0.0,98058,47.4276,-122.157,2020,8720,3,7,33,False,0,0,-122.157,230753310.0,138th Avenue Southeast,town,Renton,
35,9547205180,696000.0,3,2.5,2300,3060,1.5,1510,790.0,1930,2002.0,98115,47.6827,-122.31,1590,3264,3,8,84,True,0,0,-122.31,155324230.0,17th Avenue Northeast,city,Seattle,Green Lake
36,9435300030,550000.0,4,1.0,1660,34848,1.0,930,730.0,1933,0.0,98052,47.6621,-122.132,2160,11467,1,5,81,False,0,0,-122.132,293711406.0,Northeast 62nd Court,town,Redmond,
37,2768000400,640000.0,4,2.0,2360,6000,2.0,2360,0.0,1904,0.0,98107,47.6702,-122.362,1730,4700,4,8,110,False,0,0,-122.362,115929930.0,Northwest 58th Street,city,Seattle,Phinney Ridge
38,7895500070,240000.0,4,1.0,1220,8075,1.0,890,330.0,1969,0.0,98001,47.3341,-122.282,1290,7800,2,7,46,False,0,0,-122.282,230976353.0,42nd Avenue South,town,Auburn,
39,2078500320,605000.0,4,2.5,2620,7553,2.0,2620,0.0,1996,0.0,98056,47.5301,-122.18,2620,11884,3,8,18,False,0,0,-122.18,231926875.0,120th Place Southeast,village,Newcastle,
40,5547700270,625000.0,4,2.5,2570,5520,2.0,2570,0.0,2000,0.0,98074,47.6145,-122.027,2470,5669,3,9,14,False,0,0,-122.027,10857489.0,234th Place Northeast,town,Sammamish,
41,7766200013,775000.0,4,2.25,4220,24186,1.0,2600,1620.0,1984,0.0,98166,47.445,-122.347,2410,30617,3,8,30,False,0,0,-122.347,231467902.0,Southwest 174th Street,village,Normandy Park,
42,7203220400,861990.0,5,2.75,3595,5639,2.0,3595,0.0,2014,0.0,98053,47.6848,-122.016,3625,5639,3,9,0,False,0,0,-122.016,181019771.0,242nd Way Northeast,town,Union Hill-Novelty Hill,Redmond Ridge East
43,9270200160,685000.0,3,1.0,1570,2280,2.0,1570,0.0,1922,0.0,98119,47.6413,-122.364,1580,2640,3,7,92,False,0,0,-122.364,156874063.0,West Smith Street,city,Seattle,Queen Anne
44,1432701230,309000.0,3,1.0,1280,9656,1.0,920,360.0,1959,0.0,98058,47.4485,-122.175,1340,8808,4,6,55,False,0,0,-122.175,231787329.0,Southeast 172nd Street,town,Renton,
45,8035350320,488000.0,3,2.5,3160,13603,2.0,3160,0.0,2003,0.0,98019,47.7443,-121.977,3050,9232,3,8,11,False,0,0,-121.977,293739093.0,270th Place Northeast,town,Duvall,
46,8945200830,210490.0,3,1.0,990,8528,1.0,990,0.0,1966,0.0,98023,47.3066,-122.371,1228,8840,3,6,49,False,0,0,-122.371,231652704.0,Southwest 330th Street,town,Federal Way,
47,4178300310,785000.0,4,2.5,2290,13416,2.0,2290,0.0,1981,0.0,98007,47.6194,-122.151,2680,13685,4,9,33,False,0,0,-122.151,116757230.0,Northeast 8th Street,city,Bellevue,
48,9215400105,450000.0,3,1.75,1250,5963,1.0,1250,0.0,1953,0.0,98115,47.6796,-122.301,970,5100,4,7,62,False,0,0,-122.301,155709871.0,25th Avenue Northeast,city,Seattle,
50,5245600105,228000.0,3,1.0,1190,9199,1.0,1190,0.0,1955,0.0,98148,47.4258,-122.322,1190,9364,3,7,59,False,0,0,-122.322,231658836.0,10th Avenue South,town,Des Moines,
51,7231300125,345000.0,5,2.5,3150,9134,1.0,1640,1510.0,1966,0.0,98056,47.4934,-122.189,1990,9133,4,8,49,False,0,0,-122.189,231432083.0,Blaine Avenue Northeast,town,Renton,
52,7518505990,600000.0,3,1.75,1410,4080,1.0,1000,410.0,1950,0.0,98117,47.6808,-122.384,1410,4080,4,7,64,False,0,0,-122.384,154391951.0,22nd Avenue Northwest,city,Seattle,Ballard
53,3626039271,585000.0,2,1.75,1980,8550,1.0,990,990.0,1981,0.0,98117,47.6989,-122.369,1480,6738,3,7,34,False,0,0,-122.369,154706674.0,9th Avenue Northwest,city,Seattle,Blue Ridge
54,4217401195,920000.0,5,2.25,2730,6000,1.5,2130,600.0,1927,0.0,98105,47.6571,-122.281,2730,6000,3,8,88,False,0,0,-122.281,155285378.0,43rd Avenue Northeast,city,Seattle,
55,9822700295,885000.0,4,2.5,2830,5000,2.0,2830,0.0,1995,0.0,98105,47.6597,-122.29,1950,5000,3,9,19,False,0,0,-122.29,155313451.0,Northeast 43rd Street,city,Seattle,
56,9478500640,292500.0,4,2.5,2250,4495,2.0,2250,0.0,2008,0.0,98042,47.3663,-122.114,2250,4500,3,7,6,False,0,0,-122.114,230796078.0,Southeast 263rd Street,town,Covington,
57,2799800710,301000.0,3,2.5,2420,4750,2.0,2420,0.0,2003,0.0,98042,47.3663,-122.122,2690,4750,3,8,12,False,0,0,-122.122,230836163.0,Southeast 263rd Street,town,Covington,
58,7922800400,951000.0,5,3.25,3250,14342,2.0,3250,0.0,1968,0.0,98008,47.588,-122.116,2960,11044,4,8,46,False,0,4,-122.116,293773550.0,Southeast 26th Street,city,Bellevue,Vasa Park
59,8079040320,430000.0,4,3.0,1850,9976,2.0,1850,0.0,1991,0.0,98059,47.5059,-122.149,2270,8542,3,8,24,False,0,0,-122.149,231527016.0,Ilwaco Avenue Northeast,town,Renton,
60,1516000055,650000.0,3,2.25,2150,21235,1.0,1590,560.0,1959,0.0,98166,47.4336,-122.339,2570,18900,4,8,55,False,0,3,-122.339,231805333.0,Southwest 189th Place,village,Normandy Park,
61,9558200045,289000.0,3,1.75,1260,8400,1.0,1260,0.0,1954,0.0,98148,47.4366,-122.335,1290,8750,3,7,60,False,0,0,-122.335,67727496.0,1st Avenue South,village,Normandy Park,
62,5072410070,505000.0,3,1.75,2519,8690,2.0,2519,0.0,1973,0.0,98166,47.4428,-122.344,2500,9500,5,8,41,False,0,0,-122.344,231332968.0,6th Place Southwest,village,Normandy Park,
63,9528102996,549000.0,3,1.75,1540,1044,3.0,1540,0.0,2014,0.0,98115,47.6765,-122.32,1580,3090,3,8,0,False,0,0,-122.32,277726653.0,8th Avenue Northeast,city,Seattle,Green Lake
64,1189001180,425000.0,3,2.25,1660,6000,1.0,1110,550.0,1979,0.0,98122,47.6113,-122.297,1440,4080,3,7,35,False,0,0,-122.297,157539909.0,27th Avenue,city,Seattle,Madrona
65,3253500160,317625.0,3,2.75,2770,3809,1.5,1770,1000.0,1925,0.0,98144,47.5747,-122.304,1440,4000,5,7,89,False,0,0,-122.304,157874877.0,22nd Avenue South,city,Seattle,Beacon Hill
66,3394100030,975000.0,4,2.5,2720,11049,2.0,2720,0.0,1989,0.0,98004,47.5815,-122.192,2750,11049,3,10,25,False,0,0,-122.192,197160365.0,111th Avenue Southeast,city,Bellevue,
67,3717000160,287000.0,4,2.5,2240,4648,2.0,2240,0.0,2005,0.0,98001,47.3378,-122.257,2221,4557,3,7,9,False,0,0,-122.257,231048789.0,South 295th Court,town,Auburn,
68,1274500060,204000.0,3,1.0,1000,12070,1.0,1000,0.0,1968,0.0,98042,47.3621,-122.11,1010,12635,4,7,46,False,0,0,-122.11,231657582.0,Southeast 267th Place,town,Covington,
69,1802000060,1330000.0,5,2.25,3200,20158,1.0,1600,1600.0,1965,0.0,98004,47.6303,-122.215,3390,20158,3,8,49,False,0,0,-122.215,293690328.0,94th Avenue Northeast,village,Clyde Hill,
70,1525059190,1040000.0,5,3.25,4770,50094,1.0,3070,1700.0,1973,0.0,98005,47.6525,-122.16,3530,38917,4,11,41,False,0,0,-122.16,293848072.0,Northeast 50th Street,city,Bellevue,
71,1049000060,325000.0,3,2.0,1260,5612,1.0,1260,0.0,1972,0.0,98034,47.7362,-122.179,1640,4745,4,7,43,False,0,0,-122.179,179743200.0,Northeast 149th Place,town,Kirkland,
72,8820901275,571000.0,4,2.0,2750,7807,1.5,2250,500.0,1916,0.0,98125,47.7168,-122.287,1510,7807,5,7,98,False,0,0,-122.287,155592394.0,38th Avenue Northeast,city,Seattle,Lake City
73,5416510140,360000.0,4,2.5,2380,5000,2.0,2380,0.0,2005,0.0,98038,47.3608,-122.036,2420,5000,3,8,9,False,0,0,-122.036,219736934.0,Southeast 269th Street,town,Maple Valley,Danville
74,3444100400,349000.0,3,1.75,1790,50529,1.0,1090,700.0,1965,0.0,98042,47.3511,-122.073,1940,50529,5,7,50,False,0,0,-122.073,232202330.0,201st Avenue Southeast,town,Kent,
75,3276920270,832500.0,4,4.0,3430,35102,2.0,2390,1040.0,1986,0.0,98075,47.5822,-121.987,3240,35020,4,10,28,False,0,0,-121.987,293836457.0,263rd Place Southeast,town,Sammamish,
76,4036801170,380000.0,4,1.75,1760,7300,1.0,880,880.0,1956,0.0,98008,47.6034,-122.125,1680,7500,3,7,58,False,0,0,-122.125,293734590.0,Southeast 7th Street,city,Bellevue,
77,2391600320,480000.0,3,1.0,1040,5060,1.0,1040,0.0,1941,0.0,98116,47.5636,-122.394,890,5060,3,7,74,False,0,0,-122.394,158445016.0,48th Avenue Southwest,city,Seattle,West Seattle
78,6300000287,410000.0,3,1.0,1410,5060,1.0,910,500.0,1956,0.0,98133,47.7073,-122.34,1130,5693,4,7,58,False,0,0,-122.34,155818344.0,Interlake Avenue North,city,Seattle,Haller Lake
80,5104520400,390000.0,3,2.5,2350,5100,2.0,2350,0.0,2003,0.0,98038,47.3512,-122.008,2350,5363,3,8,11,False,0,0,-122.008,220294606.0,Maple Ridge Way Southeast,town,Maple Valley,
81,7437100340,360000.0,4,2.5,1900,5889,2.0,1900,0.0,1992,0.0,98038,47.349,-122.031,1870,6405,3,7,22,False,0,0,-122.031,219403285.0,233rd Avenue Southeast,town,Maple Valley,
82,9418400240,355000.0,2,1.0,2020,6720,1.0,1010,1010.0,1948,0.0,98118,47.5474,-122.291,1720,6720,3,7,66,False,0,0,-122.291,157407430.0,32nd Avenue South,city,Seattle,Rainier Valley
83,1523059105,356000.0,3,1.5,1680,8712,1.0,1680,0.0,1964,0.0,98059,47.4811,-122.149,1850,8797,3,8,51,False,0,0,-122.149,231246088.0,143rd Avenue Southeast,town,Renton,
84,1133000671,315000.0,3,1.0,960,6634,1.0,960,0.0,1952,0.0,98125,47.7264,-122.31,1570,7203,3,6,62,False,0,0,-122.31,120985429.0,Northeast 135th Street,city,Seattle,Lake City
85,4232902595,940000.0,3,1.5,2140,3600,2.0,1900,240.0,1925,0.0,98119,47.6337,-122.365,2020,4800,3,9,89,False,0,0,-122.365,52194461.0,6th Avenue West,city,Seattle,Queen Anne
86,2599001200,305000.0,5,2.25,2660,8400,1.5,2660,0.0,1961,0.0,98092,47.2909,-122.189,1590,8165,5,7,53,False,0,0,-122.189,231586986.0,Fir Street Southeast,town,Auburn,Forrest Villa
87,3342103156,461000.0,3,3.25,2770,6278,2.0,1980,790.0,2006,0.0,98056,47.5228,-122.199,1900,7349,3,9,8,False,0,0,-122.199,231525981.0,Meadow Avenue North,town,Renton,Kennydale
88,1332700270,215000.0,2,2.25,1610,2040,2.0,1610,0.0,1979,0.0,98056,47.518,-122.194,1950,2025,4,7,35,False,0,0,-122.194,232387052.0,Kennewick Place Northeast,town,Renton,Kennydale
89,3869900162,335000.0,2,1.75,1030,1066,2.0,765,265.0,2006,0.0,98136,47.5394,-122.387,1030,1106,3,7,8,False,0,0,-122.387,156252714.0,California Avenue Southwest,city,Seattle,
90,2791500270,243500.0,4,2.5,1980,7403,2.0,1980,0.0,1988,0.0,98023,47.2897,-122.372,1980,7510,3,7,26,False,0,0,-122.372,231807219.0,Southwest 349th Place,town,Federal Way,
91,5036300431,1100000.0,5,2.75,3520,6353,2.0,3520,0.0,2001,0.0,98199,47.6506,-122.391,2520,6250,4,10,14,False,0,0,-122.391,155637955.0,West Bertona Street,city,Seattle,Magnolia
92,4168000060,153000.0,3,1.0,1200,10500,1.0,1200,0.0,1962,0.0,98023,47.322,-122.351,1350,10500,3,7,53,False,0,0,-122.351,230882533.0,12th Avenue Southwest,town,Federal Way,
93,6021501535,430000.0,3,1.5,1580,5000,1.0,1290,290.0,1939,0.0,98117,47.687,-122.386,1570,4500,3,8,75,False,0,0,-122.386,154442589.0,Jones Avenue Northwest,city,Seattle,Ballard
94,6021501535,700000.0,3,1.5,1580,5000,1.0,1290,290.0,1939,0.0,98117,47.687,-122.386,1570,4500,3,8,75,False,0,0,-122.386,154442589.0,Jones Avenue Northwest,city,Seattle,Ballard
95,1483300570,905000.0,4,2.5,3300,10250,1.0,2390,910.0,1946,1991.0,98040,47.5873,-122.249,1950,6045,3,7,68,True,0,0,-122.249,293735517.0,64th Avenue Southeast,town,Mercer Island,
96,3422049190,247500.0,3,1.75,1960,15681,1.0,1960,0.0,1967,0.0,98032,47.3576,-122.277,1750,15616,3,7,48,False,0,0,-122.277,231381769.0,South 272nd Street,town,Auburn,
97,1099611230,199000.0,4,1.5,1160,6400,1.0,1160,0.0,1975,0.0,98023,47.3036,-122.378,1160,6400,4,7,39,False,0,0,-122.378,231190804.0,36th Avenue Southwest,town,Federal Way,
98,722079104,314000.0,3,1.75,1810,41800,1.0,1210,600.0,1980,0.0,98038,47.4109,-121.958,1650,135036,5,7,34,False,0,0,-121.958,232232435.0,290th Avenue Southeast,town,Maple Valley,
99,7338200240,437500.0,3,2.5,2320,36847,2.0,2320,0.0,1992,0.0,98045,47.4838,-121.714,2550,35065,3,9,22,False,0,2,-121.714,215336769.0,470th Avenue Southeast,town,North Bend,Tanner
100,1952200240,850830.0,3,2.5,2070,13241,1.5,1270,800.0,1910,0.0,98102,47.6415,-122.315,2200,4500,5,9,104,False,0,0,-122.315,154482333.0,Boyer Avenue East,city,Seattle,
101,5200100125,555000.0,3,2.0,1980,3478,1.5,1440,540.0,1929,0.0,98117,47.6775,-122.372,1610,3478,4,7,85,False,0,0,-122.372,156365024.0,12th Avenue Northwest,city,Seattle,Ballard
102,7214720075,699950.0,3,2.25,2190,107593,2.0,2190,0.0,1983,0.0,98077,47.7731,-122.08,2570,47777,4,8,31,False,0,0,-122.08,293739433.0,194th Avenue Northeast,town,Cottage Lake,
103,2450000295,1090000.0,3,2.5,2920,8113,2.0,2920,0.0,1950,2010.0,98004,47.5814,-122.196,2370,8113,3,8,64,True,0,0,-122.196,293709731.0,108th Avenue Southeast,city,Bellevue,
104,6197800045,290000.0,3,1.0,1210,33919,1.0,1210,0.0,1954,0.0,98058,47.4375,-122.184,1640,14910,3,7,60,False,0,0,-122.184,230888673.0,118th Avenue Southeast,town,Renton,Benson Hill
105,1328310370,375000.0,3,2.5,2340,10005,1.0,1460,880.0,1978,0.0,98058,47.4431,-122.133,2250,8162,4,8,37,False,0,0,-122.133,229879940.0,Southeast 177th Place,town,Renton,Fairwood
106,546000875,460000.0,3,1.0,1670,4005,1.5,1170,500.0,1939,0.0,98117,47.6878,-122.38,1240,4005,4,7,75,False,0,0,-122.38,155114885.0,18th Avenue Northwest,city,Seattle,Ballard
107,3530510041,188500.0,2,1.75,1240,2493,1.0,1240,0.0,1985,0.0,98198,47.3813,-122.322,1270,4966,4,8,29,False,0,0,-122.322,230864029.0,9th Place South,town,Des Moines,
108,1853000400,680000.0,4,2.5,3140,28037,2.0,3140,0.0,1991,0.0,98077,47.7304,-122.082,2990,35001,4,10,24,False,0,0,-122.082,293705944.0,Northeast 143rd Place,town,Cottage Lake,
109,3134100116,470000.0,5,1.75,2030,12342,2.0,2030,0.0,1942,0.0,98052,47.6417,-122.109,2500,9433,4,7,72,False,0,0,-122.109,293843817.0,173rd Court Northeast,town,Redmond,
110,9545230140,597750.0,4,2.5,2310,9624,2.0,2310,0.0,1984,0.0,98027,47.5386,-122.053,1940,9636,3,8,30,False,0,0,-122.053,293749586.0,Northwest Honeywood Court,town,Issaquah,
111,3362400511,570000.0,3,1.75,1260,3328,1.0,700,560.0,1905,0.0,98103,47.6823,-122.349,1380,3536,5,6,110,False,0,0,-122.349,156016208.0,North 74th Street,city,Seattle,Greenwood
112,2525310310,272500.0,3,1.75,1540,12600,1.0,1160,380.0,1980,0.0,98038,47.3624,-122.031,1540,11656,4,7,34,False,0,0,-122.031,219599248.0,233rd Court Southeast,town,Maple Valley,Danville
113,6126500060,329950.0,3,1.75,2080,5969,1.0,1080,1000.0,1971,0.0,98108,47.5474,-122.295,2090,5500,3,7,43,False,0,2,-122.295,177106303.0,Chief Sealth Trail,city,Seattle,Rainier Valley
114,8961960160,480000.0,4,2.5,3230,16171,2.0,2520,710.0,2001,0.0,98001,47.3183,-122.253,2640,8517,3,9,13,False,0,0,-122.253,231492041.0,R Street Northwest,town,Auburn,West Hill
115,3626039325,740500.0,3,3.5,4380,6350,2.0,2780,1600.0,1900,0.0,98117,47.6981,-122.368,1830,6350,3,8,114,False,0,0,-122.368,155123257.0,Northwest 95th Street,city,Seattle,Blue Ridge
116,3362400431,518500.0,3,3.5,1590,1102,3.0,1590,0.0,2010,0.0,98103,47.6824,-122.347,1620,3166,3,8,4,False,0,0,-122.347,155769013.0,North 74th Street,city,Seattle,Greenwood
117,4060000240,205425.0,2,1.0,880,6780,1.0,880,0.0,1945,0.0,98178,47.5009,-122.248,1190,6780,4,6,69,False,0,0,-122.248,157709152.0,69th Place South,city,Seattle,
118,3454800060,171800.0,4,2.0,1570,9600,1.0,1570,0.0,1950,0.0,98168,47.4965,-122.303,1880,9000,3,6,65,False,0,0,-122.303,67832867.0,Military Road South,town,Burien,Boulevard Park
119,1695900060,535000.0,4,1.0,1610,2982,1.5,1610,0.0,1925,0.0,98144,47.587,-122.294,1610,4040,4,7,90,False,0,0,-122.294,156098761.0,30th Avenue South,city,Seattle,Mount Baker
120,7278700070,660000.0,3,2.5,2400,6474,1.0,1560,840.0,1964,0.0,98177,47.7728,-122.386,2340,10856,3,8,51,False,0,2,-122.386,11677698.0,Northwest 197th Street,town,Shoreline,Richmond Beach
121,6675500070,391500.0,3,2.0,1450,9132,1.0,1450,0.0,1987,0.0,98034,47.7288,-122.226,1580,9104,3,7,27,False,0,0,-122.226,179635675.0,Northeast 142nd Street,town,Kirkland,Inglewood
122,3626039187,395000.0,2,1.0,770,6000,1.0,770,0.0,1953,0.0,98117,47.6999,-122.364,1710,6000,3,6,62,False,0,0,-122.364,156124696.0,Northwest 97th Street,city,Seattle,Greenwood
123,3524049083,445000.0,4,1.75,2100,4400,1.5,1720,380.0,1924,0.0,98118,47.5299,-122.266,1850,4400,5,7,90,False,0,0,-122.266,157340672.0,Seward Park Avenue South,city,Seattle,
124,3275860240,770000.0,3,2.25,2910,10204,2.0,2910,0.0,1990,0.0,98052,47.6897,-122.098,2700,13992,3,9,24,False,0,0,-122.098,258988297.0,Northeast 99th Way,town,Redmond,
125,4389200955,1450000.0,4,2.75,2750,17789,1.5,1980,770.0,1914,1992.0,98004,47.6141,-122.212,3060,11275,3,8,101,True,0,0,-122.212,293822639.0,Northeast 1st Street,city,Bellevue,
126,4058801670,445000.0,3,2.25,2100,8201,1.0,1620,480.0,1967,0.0,98178,47.5091,-122.244,2660,8712,3,8,47,False,0,2,-122.244,231575148.0,South Rustic Road,city,Seattle,
127,8732020310,260000.0,4,2.25,2160,8811,1.0,1360,800.0,1978,0.0,98023,47.3129,-122.39,2090,8400,3,8,36,False,0,0,-122.39,231176517.0,44th Place Southwest,town,Federal Way,
128,2331300505,822500.0,5,3.5,2320,4960,2.0,1720,600.0,1926,0.0,98103,47.6763,-122.352,1700,4960,5,7,88,False,0,0,-122.352,155694736.0,North 65th Street,city,Seattle,Phinney Ridge
129,7853210060,430000.0,4,2.5,2070,4310,2.0,2070,0.0,2004,0.0,98065,47.5319,-121.85,1970,3748,3,7,11,False,0,0,-121.85,293805386.0,Southeast Gravenstein Court,town,Snoqualmie,
130,3668000070,212000.0,3,1.75,1060,7875,1.0,1060,0.0,1986,0.0,98092,47.2761,-122.152,1420,7680,4,7,29,False,0,0,-122.152,232184437.0,37th Street Southeast,town,Auburn,Muckleshoot
131,9545240070,660500.0,4,2.25,2010,9603,1.0,1440,570.0,1986,0.0,98027,47.5343,-122.054,2060,9793,3,8,29,False,0,0,-122.054,96548746.0,Jasmine Place Northwest,town,Issaquah,
